regionName	Date	GovernmentResponseIndex
Massachusetts	09-2021	42.96875
Massachusetts	10-2021	44.53125
Massachusetts	11-2021	44.53125
Massachusetts	12-2021	47.65625
Michigan	01-2020	0.0
Michigan	02-2020	13.020833333333334
Michigan	03-2020	34.895833333333336
Michigan	04-2020	70.83333333333334
Michigan	05-2020	70.3125
Michigan	06-2020	60.41666666666667
Michigan	07-2020	61.45833333333333
Michigan	08-2020	64.0625
Michigan	09-2020	60.9375
Michigan	10-2020	54.6875
Michigan	11-2020	59.375
Michigan	12-2020	69.16666666666667
Michigan	01-2021	65.0
Michigan	02-2021	65.0
Michigan	03-2021	66.25
Michigan	04-2021	65.10416666666667
Michigan	05-2021	65.10416666666667
Michigan	06-2021	55.729166666666664
Michigan	07-2021	49.21875
Michigan	08-2021	45.052083333333336
Michigan	09-2021	40.364583333333336
Michigan	10-2021	40.364583333333336
Michigan	11-2021	37.239583333333336
Michigan	12-2021	40.364583333333336
Minnesota	01-2020	0.0
Minnesota	02-2020	13.020833333333334
Minnesota	03-2020	39.0625
Minnesota	04-2020	61.97916666666667
Minnesota	05-2020	60.9375
Minnesota	06-2020	55.98958333333333
Minnesota	07-2020	55.98958333333333
Minnesota	08-2020	53.64583333333333
Minnesota	09-2020	51.5625
Minnesota	10-2020	50.520833333333336
Minnesota	11-2020	50.520833333333336
Minnesota	12-2020	62.916666666666664
Minnesota	01-2021	56.145833333333336
Minnesota	02-2021	56.145833333333336
Minnesota	03-2021	55.833333333333336
Minnesota	04-2021	58.333333333333336
Minnesota	05-2021	57.552083333333336
Minnesota	06-2021	47.916666666666664
Minnesota	07-2021	44.791666666666664
Minnesota	08-2021	41.666666666666664
Minnesota	09-2021	33.854166666666664
Minnesota	10-2021	32.291666666666664
Minnesota	11-2021	33.854166666666664
Minnesota	12-2021	33.854166666666664
Mississippi	01-2020	0.0
Mississippi	02-2020	9.895833333333334
Mississippi	03-2020	29.6875
Mississippi	04-2020	64.0625
Mississippi	05-2020	61.97916666666667
Mississippi	06-2020	55.46875000000001
Mississippi	07-2020	59.63541666666667
Mississippi	08-2020	57.8125
Mississippi	09-2020	55.72916666666667
Mississippi	10-2020	44.53125
Mississippi	11-2020	45.3125
Mississippi	12-2020	47.60416666666667
Mississippi	01-2021	51.97916666666667
Mississippi	02-2021	53.22916666666667
Mississippi	03-2021	50.26041666666667
Mississippi	04-2021	46.614583333333336
Mississippi	05-2021	44.53125000000001
Mississippi	06-2021	44.53125000000001
Mississippi	07-2021	44.53125
Mississippi	08-2021	41.927083333333336
Mississippi	09-2021	40.364583333333336
Mississippi	10-2021	40.364583333333336
Mississippi	11-2021	37.239583333333336
Mississippi	12-2021	40.364583333333336
Missouri	01-2020	0.0
Missouri	02-2020	13.020833333333334
Missouri	03-2020	45.31250000000001
Missouri	04-2020	60.93750000000001
Missouri	05-2020	58.59375000000001
Missouri	06-2020	56.510416666666664
Missouri	07-2020	46.614583333333336
Missouri	08-2020	50.52083333333333
Missouri	09-2020	46.875
Missouri	10-2020	46.875
Missouri	11-2020	48.4375
Missouri	12-2020	51.302083333333336
Missouri	01-2021	57.395833333333336
Missouri	02-2021	59.166666666666664
Missouri	03-2021	57.604166666666664
Missouri	04-2021	54.166666666666664
Missouri	05-2021	49.21875
Missouri	06-2021	44.53125
Missouri	07-2021	45.052083333333336
Missouri	08-2021	41.927083333333336
Missouri	09-2021	41.40625
Missouri	10-2021	42.1875
Missouri	11-2021	34.114583333333336
Missouri	12-2021	36.197916666666664
Montana	01-2020	0.0
Montana	02-2020	9.895833333333334
Montana	03-2020	31.25
Montana	04-2020	73.95833333333334
Montana	05-2020	69.79166666666666
Montana	06-2020	61.97916666666667
Montana	07-2020	63.28125000000001
Montana	08-2020	60.15625000000001
Montana	09-2020	52.864583333333336
Montana	10-2020	53.90625000000001
Montana	11-2020	51.82291666666667
Montana	12-2020	52.03125000000001
Montana	01-2021	53.07291666666667
Montana	02-2021	56.875
Montana	03-2021	56.875
Montana	04-2021	54.166666666666664
Montana	05-2021	52.604166666666664
Montana	06-2021	50.260416666666664
Montana	07-2021	43.75000000000001
Montana	08-2021	39.84375000000001
Montana	09-2021	38.28125000000001
Montana	10-2021	38.28125000000001
Montana	11-2021	32.03125
Montana	12-2021	35.15625000000001
Nebraska	01-2020	0.0
Nebraska	02-2020	13.020833333333334
Nebraska	03-2020	39.06250000000001
Nebraska	04-2020	58.85416666666667
Nebraska	05-2020	60.9375
Nebraska	06-2020	64.32291666666667
Nebraska	07-2020	59.114583333333336
Nebraska	08-2020	54.947916666666664
Nebraska	09-2020	55.989583333333336
Nebraska	10-2020	50.52083333333333
Nebraska	11-2020	60.416666666666664
Nebraska	12-2020	61.979166666666664
Nebraska	01-2021	59.479166666666664
Nebraska	02-2021	56.354166666666664
Nebraska	03-2021	57.395833333333336
Nebraska	04-2021	59.895833333333336
Nebraska	05-2021	56.25
Nebraska	06-2021	54.6875
Nebraska	07-2021	51.5625
Nebraska	08-2021	42.1875
Nebraska	09-2021	41.666666666666664
Nebraska	10-2021	47.916666666666664
Nebraska	11-2021	42.708333333333336
Nebraska	12-2021	45.833333333333336
Nevada	01-2020	0.0
Nevada	02-2020	9.895833333333334
Nevada	03-2020	33.854166666666664
Nevada	04-2020	61.97916666666667
Nevada	05-2020	64.58333333333333
Nevada	06-2020	61.979166666666664
Nevada	07-2020	61.458333333333336
Nevada	08-2020	58.333333333333336
Nevada	09-2020	58.333333333333336
Nevada	10-2020	52.604166666666664
Nevada	11-2020	52.604166666666664
Nevada	12-2020	56.979166666666664
Nevada	01-2021	58.229166666666664
Nevada	02-2021	58.229166666666664
Nevada	03-2021	59.479166666666664
Nevada	04-2021	58.854166666666664
Nevada	05-2021	57.8125
Nevada	06-2021	48.4375
Nevada	07-2021	48.4375
Nevada	08-2021	43.75
Nevada	09-2021	39.0625
Nevada	10-2021	35.9375
Nevada	11-2021	32.8125
Nevada	12-2021	35.9375
New Hampshire	01-2020	0.0
New Hampshire	02-2020	13.020833333333334
New Hampshire	03-2020	49.47916666666667
New Hampshire	04-2020	75.0
New Hampshire	05-2020	75.0
New Hampshire	06-2020	72.65625
New Hampshire	07-2020	52.86458333333333
New Hampshire	08-2020	46.61458333333333
New Hampshire	09-2020	46.09375
New Hampshire	10-2020	44.53125
